Date,Open,High,Low,Close,Adj Close,Volume,PriceChange,VolumeChange
10/23/80,131.919998,132.539993,128.869995,129.529999,129.529999,49200000,-1.811703333,14.25917325
10/24/80,129.529999,130.550003,128.039993,129.850006,129.850006,41050000,0.247052422,-16.56504065
10/27/80,129.850006,129.940002,127.339996,127.879997,127.879997,34430000,-1.517142017,-16.12667479
10/28/80,127.879997,128.860001,126.360001,128.050003,128.050003,40300000,0.132941824,17.0490851
10/29/80,128.050003,129.910004,127.07,127.910004,127.910004,37200000,-0.109331509,-7.692307692
10/30/80,127.910004,128.710007,125.779999,126.290001,126.290001,39060000,-1.266517825,5
10/31/80,126.290001,128.240005,125.290001,127.470001,127.470001,40110000,0.934357424,2.688172043
11/3/80,127.470001,129.850006,127.230003,129.039993,129.039993,35820000,1.231656066,-10.69558714
11/5/80,130.770004,135.649994,130.770004,131.330002,131.330002,84080000,1.774650592,134.7292016
11/6/80,131.300003,131.300003,128.229996,128.910004,128.910004,48890000,-1.842684812,-41.85299715
11/7/80,128.910004,130.080002,127.739998,129.179993,129.179993,40070000,0.209439913,-18.04049908
11/10/80,129.179993,130.509995,128.190002,129.479996,129.479996,35720000,0.232236427,-10.856002
11/11/80,129.479996,132.300003,129.479996,131.259995,131.259995,41520000,1.374728958,16.23740202
11/12/80,131.330002,135.119995,131.330002,134.589996,134.589996,58500000,2.536950424,40.89595376
11/13/80,134.589996,137.210007,134.119995,136.490005,136.490005,69340000,1.411701506,18.52991453
11/14/80,136.490005,138.960007,135.119995,137.149994,137.149994,71630000,0.483543832,3.302567061
11/17/80,137.149994,138.460007,134.899994,137.75,137.75,50260000,0.437481609,-29.83386849
11/18/80,137.910004,140.919998,137.910004,139.699997,139.699997,70380000,1.415605808,40.03183446
11/19/80,139.699997,141.759995,138.059998,139.059998,139.059998,69230000,-0.458123847,-1.633986928
11/20/80,139.059998,141.240005,137.789993,140.399994,140.399994,60180000,0.963609966,-13.07236747
11/21/80,140.399994,141.240005,138.100006,139.110001,139.110001,55950000,-0.918798472,-7.02891326
11/24/80,139.110001,139.360001,136.360001,138.309998,138.309998,51120000,-0.575086618,-8.632707775
11/25/80,138.309998,140.830002,137.419998,139.330002,139.330002,55840000,0.737476693,9.233176839
11/26/80,139.330002,141.960007,138.600006,140.169998,140.169998,55340000,0.602882357,-0.895415473
11/28/80,140.169998,141.539993,139,140.520004,140.520004,34240000,0.249701081,-38.12793639
12/1/80,140.520004,140.660004,136.75,137.210007,137.210007,48180000,-2.355534376,40.71261682
12/2/80,137.210007,138.110001,134.369995,136.970001,136.970001,52340000,-0.174918729,8.634288086
12/3/80,136.970001,138.089996,135.429993,136.710007,136.710007,43430000,-0.189818207,-17.02330913
12/4/80,136.710007,138.399994,135.089996,136.479996,136.479996,51170000,-0.168247376,17.82178218
12/5/80,136.369995,136.369995,132.910004,134.029999,134.029999,51990000,-1.795132673,1.602501466
12/8/80,133.190002,133.190002,129.710007,130.610001,130.610001,53390000,-2.551666064,2.692825543
12/9/80,130.610001,131.919998,128.770004,130.479996,130.479996,53220000,-0.099536788,-0.318411688
12/10/80,130.479996,131.990005,127.940002,128.259995,128.259995,49860000,-1.701410996,-6.313416009
12/11/80,128.259995,128.729996,125.32,127.360001,127.360001,60220000,-0.701695022,20.7781789
12/12/80,127.360001,129.979996,127.150002,129.229996,129.229996,39530000,1.468274957,-34.35735636
12/15/80,129.229996,131.330002,128.639999,129.449997,129.449997,39700000,0.170239888,0.430053124
12/16/80,129.449997,131.220001,128.330002,130.600006,130.600006,41630000,0.888380863,4.861460957
12/17/80,130.600006,133.589996,130.220001,132.889999,132.889999,50800000,1.753440195,22.0273841
12/18/80,132.889999,135.899994,131.889999,133,133,69570000,0.082775981,36.9488189
12/19/80,133,134,131.800003,133.699997,133.699997,50770000,0.526313534,-27.02314216
12/22/80,133.699997,136.679993,132.880005,135.779999,135.779999,51950000,1.555723296,2.324207209
12/23/80,135.779999,137.479996,134.009995,135.300003,135.300003,55260000,-0.353510092,6.371511068
12/24/80,135.300003,136.550003,134.149994,135.880005,135.880005,29490000,0.428678483,-46.63409338
12/26/80,135.880005,137.020004,135.199997,136.570007,136.570007,16130000,0.507802454,-45.30349271
12/29/80,136.570007,137.509995,134.360001,135.029999,135.029999,36060000,-1.127632658,123.5585865
12/30/80,135.029999,136.509995,134.039993,135.330002,135.330002,39750000,0.222175074,10.23294509
12/31/80,135.330002,136.759995,134.289993,135.759995,135.759995,41210000,0.317736639,3.672955975
